Protocol,Packet_Size_Bytes,Connection_Duration_ms,Failed_Logins,Geo_Distance_km,Is_Malicious
ICMP,348,168,0,108,0
UDP,314,259,1,34,0
TCP,165,198,0,677,0
TCP,61,153,0,232,0
TCP,271,17,0,0,0
TCP,335,65,0,1166,0
UDP,644,1,0,255,0
TCP,537,117,0,1357,0
TCP,141,117,1,677,0
TCP,469,45,0,613,0
TCP,74,18,0,772,0
TCP,4216,21,1,118,1
TCP,530,112,0,80,0
UDP,434,224,0,101,0
UDP,379,112,0,60,0
TCP,80,63,0,360,0
TCP,4785,10,3,140,1
TCP,540,103,0,1235,0
TCP,196,132,0,1204,0
TCP,435,144,0,320,0
TCP,459,64,0,544,0
TCP,2058,89,0,11,0
TCP,409,96,0,68,0
TCP,27,15,0,79,0
TCP,7006,228,8,54,1
TCP,1104,129,0,4448,1
TCP,107,110,0,279,0
TCP,320,37,0,914,0
ICMP,1013,9,0,194,0
ICMP,71,78,0,416,0
TCP,162,32,0,199,0
UDP,21,73,0,309,0
UDP,1084,60,0,135,0
TCP,51,232,1,390,0
TCP,997,64,2,660,0
TCP,96,61,0,672,0
UDP,392,1,0,56,0
UDP,922,82,0,32,0
TCP,11,291,0,18,0
UDP,920,22,0,992,0
UDP,710,28,0,26,0
TCP,270,155,0,259,0
ICMP,185,107,0,16,0
TCP,162,55,0,952,0
UDP,1261,24,1,1099,0
TCP,221,57,1,372,1
TCP,261,222,0,1070,0
UDP,30,28,0,1216,0
UDP,832,294,0,222,0
TCP,634,160,0,396,0
TCP,499,97,0,189,0
TCP,123,23,0,46,0
TCP,244,159,0,472,0
TCP,443,118,0,430,0
TCP,724,77,0,17,0
TCP,5266,31,5,4709,1
TCP,257,49,0,1200,0
TCP,52,76,1,400,0
TCP,23,204,0,438,0
UDP,345,91,1,65,0
TCP,1004,26,2,1301,0
ICMP,20,186,0,906,0
UDP,274,333,0,14,0
TCP,100,87,0,1703,0
TCP,116,154,0,35,0
UDP,564,11,0,131,0
UDP,124,47,0,307,0
TCP,79,313,0,174,0
ICMP,201,207,0,64,0
TCP,194,123,0,10,0
ICMP,158,255,0,55,0
UDP,1451,261,0,249,0
TCP,1343,8,1,583,0
TCP,218,193,0,167,0
ICMP,5633,52,8,4171,1
UDP,90,33,0,565,0
TCP,357,305,0,151,0
UDP,217,220,0,171,0
TCP,539,33,0,477,0
UDP,1402,14,0,842,0
TCP,164,72,0,205,0
ICMP,202,231,1,104,0
TCP,354,84,0,7,0
TCP,258,228,1,115,0
TCP,76,23,0,528,0
TCP,479,32,0,9,0
TCP,86,149,0,87,0
TCP,781,73,0,270,0
ICMP,23,50,0,381,0
UDP,39,33,0,37,0
ICMP,504,4,0,49,0
TCP,106,168,0,369,0
TCP,434,39,0,95,0
UDP,1296,22,0,944,0
TCP,383,221,1,463,0
TCP,84,27,0,1184,0
TCP,610,92,0,28,0
ICMP,758,102,0,245,0
TCP,540,132,0,328,0
UDP,401,90,0,26,0
ICMP,698,232,0,511,0
TCP,512,259,0,178,0
TCP,341,37,0,15,0
TCP,569,11,0,542,0
TCP,80,23,0,25,0
TCP,292,26,0,603,0
TCP,428,725,0,42,0
TCP,207,50,0,349,0
TCP,306,177,0,557,0
UDP,140,5,0,496,0
TCP,355,91,0,627,0
TCP,151,189,1,346,0
TCP,56,156,0,194,0
ICMP,1189,26,0,178,0
ICMP,413,17,0,120,0
UDP,244,338,1,53,0
TCP,65,15,0,30,0
TCP,127,142,0,259,0
ICMP,58,13,1,1719,0
TCP,448,24,0,957,0
UDP,189,76,0,474,0
UDP,47,35,0,798,0
TCP,158,25,1,452,0
UDP,412,20,0,74,0
TCP,527,18,0,423,0
TCP,73,104,7,5903,1
TCP,1111,218,1,77,0
UDP,595,166,0,614,0
TCP,840,418,0,885,0
TCP,94,64,0,351,0
UDP,139,56,0,413,0
TCP,166,39,0,216,0
TCP,2661,50,0,782,0
UDP,26,85,0,744,0
TCP,938,59,0,475,0
TCP,541,101,0,593,0
TCP,1515,203,0,427,0
TCP,1251,22,0,254,0
UDP,199,58,0,22,0
TCP,670,9,0,515,0
TCP,502,59,0,600,0
UDP,1552,6,0,483,0
TCP,129,134,0,385,0
TCP,460,41,0,435,0
TCP,47,43,1,2088,0
TCP,361,52,0,725,0
ICMP,630,57,3,347,1
TCP,27,13,0,626,0
UDP,728,74,0,166,0
TCP,274,177,0,211,0
UDP,280,248,0,3404,1
TCP,719,154,0,1017,0
UDP,84,312,0,204,0
TCP,686,0,1,916,0
TCP,643,85,0,90,0
TCP,44,0,0,1464,0
ICMP,408,51,0,162,0
UDP,13,285,0,467,0
TCP,58,126,0,372,0
TCP,713,230,0,621,0
TCP,37,25,0,255,0
TCP,876,154,0,63,0
TCP,654,59,0,654,0
UDP,805,188,0,391,0
TCP,35,52,0,1083,0
TCP,1380,156,0,941,0
TCP,1321,105,0,1587,0
ICMP,981,46,0,16,0
UDP,109,106,0,194,0
ICMP,221,28,0,435,0
TCP,801,17,0,944,0
TCP,456,7,0,521,0
TCP,550,274,0,1238,0
TCP,14,153,0,687,0
TCP,83,57,0,359,0
ICMP,47,1,0,281,0
ICMP,614,94,0,382,0
UDP,1076,17,0,906,0
TCP,3,19,0,493,0
TCP,510,30,0,576,0
TCP,805,231,0,336,0
TCP,538,207,0,83,0
UDP,3881,19,0,276,1
TCP,225,8,0,32,0
TCP,190,68,1,988,0
ICMP,1346,38,0,250,0
TCP,1088,322,0,184,0
UDP,907,12,0,362,0
TCP,191,29,0,766,0
TCP,5,24,0,448,0
TCP,439,115,1,230,0
TCP,358,7,0,42,0
ICMP,29,39,0,564,0
UDP,91,10,0,240,0
TCP,530,175,0,650,0
TCP,162,84,0,786,0
TCP,10,106,0,166,0
UDP,293,48,0,44,0
TCP,1658,149,0,637,0
ICMP,377,85,1,653,0
TCP,448,17,1,686,0
UDP,1013,110,0,30,0
ICMP,177,105,0,618,0
TCP,5011,48,9,6629,1
TCP,112,31,0,346,0
UDP,1710,108,0,780,0
TCP,135,67,0,372,0
TCP,188,61,0,226,0
TCP,302,75,0,259,0
TCP,615,284,0,1788,0
TCP,3,118,0,248,0
TCP,639,83,0,127,0
UDP,23,108,1,836,0
TCP,116,110,0,402,0
TCP,376,26,0,253,0
TCP,54,74,0,605,0
UDP,343,196,0,896,0
UDP,705,8,0,187,0
TCP,167,129,0,200,0
TCP,242,46,0,784,0
ICMP,395,87,0,897,0
TCP,214,174,0,1035,0
UDP,590,74,0,1335,0
TCP,730,32,0,32,0
TCP,356,137,0,641,0
TCP,158,118,0,79,0
UDP,59,14,0,593,0
TCP,277,55,0,395,0
TCP,511,100,0,1154,0
TCP,165,83,0,528,0
TCP,1658,143,0,257,0
ICMP,653,208,0,848,0
UDP,78,35,0,89,0
TCP,54,159,0,325,0
UDP,492,39,0,271,0
TCP,520,248,0,9,0
UDP,6,5,0,382,0
TCP,1,66,0,2714,0
UDP,836,116,0,134,0
TCP,241,126,0,282,0
TCP,869,23,0,149,0
TCP,394,59,0,15,0
TCP,45,100,0,36,0
TCP,281,99,0,368,0
TCP,289,43,0,1020,0
UDP,276,253,0,107,0
TCP,574,14,0,109,0
TCP,770,110,0,1438,0
TCP,126,79,0,114,0
TCP,1077,12,0,13,0
TCP,245,7,0,99,0
UDP,2011,180,0,234,0
TCP,126,57,0,1515,0
TCP,234,7,0,426,0
UDP,300,263,0,1071,0
TCP,64,282,0,2255,0
UDP,839,46,0,87,0
TCP,8,169,1,106,0
TCP,5366,64,0,5515,1
ICMP,302,154,1,193,0
TCP,179,97,0,242,0
ICMP,809,104,0,491,0
UDP,159,90,0,26,0
TCP,248,90,0,280,0
ICMP,707,36,0,116,0
TCP,398,104,0,1300,0
UDP,86,205,0,1511,0
UDP,850,25,0,52,0
TCP,6,16,0,213,0
UDP,28,228,0,102,0
UDP,1258,17,1,203,0
TCP,7,390,0,291,0
TCP,229,97,0,594,0
TCP,423,74,0,344,0
TCP,488,122,0,87,0
TCP,801,33,0,271,0
TCP,55,203,0,96,0
TCP,1045,179,0,336,0
TCP,43,29,0,273,0
UDP,693,24,0,793,0
TCP,1146,21,0,106,0
TCP,257,21,0,1155,0
TCP,485,10,0,39,0
TCP,15,59,0,698,0
TCP,653,5,0,632,0
UDP,113,2,0,189,0
UDP,508,4,0,491,0
TCP,370,25,0,836,0
TCP,345,47,0,4,0
ICMP,881,282,0,463,0
TCP,748,10,0,144,0
UDP,211,33,0,787,0
UDP,310,50,0,25,0
TCP,1121,14,0,112,0
TCP,1675,52,0,727,0
TCP,391,55,0,779,0
TCP,528,237,0,1004,0
TCP,659,159,0,345,0
UDP,44,47,0,321,0
TCP,1013,42,0,208,0
UDP,82,107,0,156,0
TCP,142,5,7,58,1
TCP,761,63,0,1746,0
TCP,1848,79,0,313,0
TCP,1984,199,0,550,0
TCP,1043,136,0,22,0
TCP,121,12,0,283,0
TCP,265,0,0,922,0
UDP,220,55,0,1859,0
TCP,605,2,0,391,0
TCP,211,119,0,12,0
TCP,257,49,0,415,0
ICMP,44,206,1,121,0
UDP,250,345,0,14,0
TCP,97,20,0,717,0
TCP,214,77,0,536,0
TCP,294,250,0,499,0
TCP,2143,58,0,806,0
ICMP,335,1,1,264,0
TCP,406,40,0,86,0
TCP,291,29,0,267,0
TCP,67,16,0,530,0
TCP,418,56,0,804,0
TCP,240,219,0,34,0
UDP,415,109,0,115,0
TCP,515,136,1,691,0
TCP,670,96,0,555,0
TCP,413,67,0,260,0
UDP,37,351,0,233,0
TCP,4,41,0,1179,0
TCP,357,1,0,312,0
UDP,119,144,0,506,0
TCP,94,77,0,90,0
UDP,994,236,0,383,0
TCP,1365,176,1,529,0
UDP,1021,115,0,815,0
TCP,727,33,0,916,0
TCP,455,10,0,964,0
TCP,582,65,0,1421,0
TCP,5421,255,10,99,1
TCP,462,173,0,357,0
TCP,223,281,0,5383,1
UDP,103,15,0,139,0
TCP,308,60,2,747,0
TCP,1021,115,1,1272,0
ICMP,132,411,0,1198,0
TCP,280,134,1,4,0
TCP,1414,108,0,731,0
UDP,99,43,0,219,0
TCP,888,14,1,91,0
TCP,517,219,0,380,1
TCP,378,225,0,364,0
TCP,651,12,0,389,0
TCP,516,5,0,213,0
TCP,572,28,0,383,0
TCP,1124,36,0,391,0
TCP,210,234,1,95,0
TCP,602,69,0,156,0
UDP,32,28,0,132,0
TCP,1978,109,0,198,0
TCP,70,170,0,83,0
UDP,2,6,0,35,0
TCP,777,98,0,310,0
TCP,1372,191,0,199,0
TCP,98,211,0,161,0
TCP,411,12,1,198,0
TCP,1163,21,0,234,0
TCP,68,46,0,856,0
TCP,180,42,0,829,0
TCP,260,174,0,23,0
UDP,1257,41,0,57,0
TCP,173,66,0,126,0
TCP,406,34,1,924,0
TCP,1992,38,0,170,0
TCP,712,126,0,1370,0
TCP,603,67,0,35,0
ICMP,211,17,0,451,0
TCP,302,150,0,1642,0
TCP,142,40,0,377,0
TCP,66,64,0,24,0
ICMP,369,57,0,79,0
UDP,238,91,3,103,1
UDP,15,44,0,50,0
TCP,458,144,0,68,0
TCP,337,204,0,1569,0
TCP,810,24,0,1980,0
TCP,183,45,0,564,0
ICMP,1780,57,0,718,0
TCP,174,101,0,127,0
TCP,72,87,0,102,0
UDP,870,68,0,522,0
ICMP,1199,79,0,1481,0
TCP,476,17,0,52,0
TCP,283,228,0,57,0
TCP,392,24,0,460,0
TCP,4798,56,1,89,1
UDP,695,19,0,565,0
UDP,412,200,0,109,0
TCP,2532,235,3,674,1
UDP,21,6,0,14,0
UDP,448,96,0,1318,0
UDP,926,95,0,72,0
TCP,1049,22,0,160,0
ICMP,343,199,0,206,0
ICMP,124,53,0,5159,1
TCP,1195,138,0,249,0
TCP,58,113,0,87,0
TCP,298,45,0,140,0
TCP,269,294,0,1333,0
TCP,661,87,0,572,0
TCP,344,210,0,206,0
UDP,230,159,0,42,0
UDP,350,168,0,4178,1
UDP,729,145,0,810,0
TCP,224,18,1,383,0
UDP,304,5,0,40,0
UDP,48,164,0,111,0
TCP,706,53,0,82,0
ICMP,57,58,0,446,0
TCP,55,9,1,492,0
TCP,238,147,0,363,0
TCP,1039,31,0,617,0
UDP,176,27,0,660,0
TCP,645,84,0,1038,0
TCP,401,261,0,996,0
TCP,220,43,0,701,0
TCP,5726,89,2,4690,1
TCP,233,5,0,3575,0
TCP,301,18,0,240,0
ICMP,170,96,0,446,0
TCP,89,386,0,645,0
TCP,205,65,0,237,0
TCP,137,1,0,980,0
ICMP,496,45,0,659,0
ICMP,550,89,0,27,0
UDP,5789,90,4,5908,1
TCP,1755,95,0,2411,0
TCP,52,177,0,262,0
UDP,242,21,0,1008,0
UDP,912,73,0,145,0
TCP,317,16,0,725,0
ICMP,36,32,1,453,0
UDP,251,143,1,171,0
TCP,23,84,0,894,0
TCP,1581,29,0,163,0
TCP,176,74,0,95,0
TCP,586,104,0,103,0
UDP,321,336,0,911,0
TCP,170,51,0,1737,0
TCP,33,15,0,996,0
UDP,1,515,1,558,0
ICMP,469,789,0,1693,0
TCP,173,58,0,196,0
TCP,1058,207,0,1036,0
UDP,442,66,0,153,0
TCP,98,23,0,859,0
TCP,566,40,0,805,0
TCP,290,224,0,169,0
TCP,14,114,1,86,0
UDP,23,169,0,551,0
TCP,509,203,1,92,0
TCP,491,95,0,1076,0
TCP,155,119,0,197,0
TCP,615,52,0,268,0
TCP,838,165,0,105,0
TCP,371,23,0,1706,0
ICMP,26,136,0,745,0
TCP,715,9,0,253,0
TCP,750,1,0,893,1
ICMP,830,78,0,207,0
TCP,504,25,0,400,0
TCP,1228,156,0,33,0
UDP,278,73,0,84,0
TCP,559,33,0,749,0
TCP,143,11,1,1700,0
TCP,34,132,0,1147,0
TCP,1099,1,0,1399,0
TCP,1320,12,0,388,0
ICMP,50,12,1,449,0
TCP,38,59,0,174,0
TCP,283,13,0,479,0
ICMP,1286,158,0,237,0
TCP,382,58,0,43,0
TCP,2662,138,0,1416,0
TCP,638,90,0,700,0
ICMP,1811,5,0,1217,0
TCP,531,102,0,15,0
TCP,982,119,0,52,0
UDP,678,36,0,114,0
TCP,898,71,0,62,0
TCP,1391,64,0,1368,0
TCP,573,133,0,854,0
TCP,345,357,0,881,0
TCP,1002,49,0,446,0
UDP,494,543,0,619,0
UDP,65,55,0,313,0
TCP,242,141,0,720,0
UDP,232,30,1,95,0
TCP,5859,193,4,5595,1
TCP,15,200,1,360,0
TCP,257,77,8,1971,1
UDP,150,128,0,459,0
TCP,421,21,0,95,0
TCP,140,37,0,217,0
TCP,669,46,0,285,0
ICMP,167,70,0,395,0
TCP,44,47,0,45,0
TCP,508,49,0,390,0
TCP,882,12,0,645,0
TCP,67,45,0,25,0
TCP,2019,61,0,187,0
TCP,689,27,1,327,0
TCP,629,20,0,115,0
TCP,71,17,0,436,0
TCP,115,40,0,91,0
ICMP,934,211,0,912,0
UDP,385,1,1,840,0
TCP,666,20,0,281,0
TCP,85,28,0,199,0
TCP,1336,58,4,657,1
TCP,756,43,0,698,0
ICMP,626,102,1,362,0
TCP,1503,2,0,153,0
TCP,269,77,0,192,0
TCP,172,55,1,731,0
TCP,130,52,0,86,0
UDP,2158,443,0,246,0
TCP,268,59,0,57,0
TCP,630,137,1,226,0
TCP,166,18,0,76,0
TCP,164,83,0,41,0
UDP,433,462,0,78,0
UDP,573,134,0,116,0
TCP,69,22,0,1156,0
TCP,444,47,0,753,0
UDP,476,50,0,908,0
TCP,821,104,0,106,0
UDP,375,297,0,897,0
TCP,100,66,9,79,1
UDP,2044,26,0,4497,1
TCP,298,241,0,274,0
TCP,381,75,0,880,0
TCP,1772,86,0,494,0
TCP,1363,45,0,164,0
TCP,547,268,1,594,0
ICMP,95,14,0,661,0
UDP,90,8,1,199,0
TCP,285,196,0,492,0
UDP,81,125,0,778,0
TCP,564,174,0,190,0
UDP,1053,167,0,349,0
UDP,182,10,0,205,0
TCP,388,137,0,1988,0
TCP,60,210,0,103,0
TCP,146,164,1,417,0
ICMP,83,95,0,990,0
ICMP,86,42,0,957,0
UDP,235,47,0,25,0
UDP,427,55,0,683,0
UDP,64,31,1,409,0
TCP,228,108,0,286,0
ICMP,98,21,0,341,0
TCP,389,48,0,172,0
TCP,433,78,0,952,0
TCP,47,145,0,926,0
TCP,1318,119,0,114,0
TCP,5496,43,0,6837,1
TCP,3360,14,0,646,0
TCP,724,115,0,316,0
TCP,1419,12,0,74,0
TCP,613,71,0,608,0
TCP,20,24,0,436,0
ICMP,1073,56,0,50,0
TCP,359,26,0,42,0
TCP,1135,49,0,953,1
TCP,413,58,0,2272,0
UDP,650,67,0,199,0
TCP,29,40,0,135,0
TCP,351,65,0,894,0
UDP,1145,56,0,147,0
TCP,59,194,0,748,0
TCP,608,12,0,33,0
TCP,748,23,0,337,0
TCP,2374,28,0,363,0
UDP,77,19,1,89,0
TCP,325,77,0,308,0
TCP,683,148,0,124,0
TCP,1169,12,0,1182,0
ICMP,1104,70,0,1094,0
TCP,4920,34,0,4746,1
TCP,206,19,0,186,0
UDP,68,82,0,351,0
UDP,1076,41,0,241,0
TCP,193,184,0,74,0
TCP,3012,8,0,633,0
ICMP,1597,93,0,260,0
TCP,72,119,0,48,0
UDP,185,99,0,775,0
TCP,124,259,0,409,0
TCP,60,105,0,610,0
UDP,293,101,0,520,0
TCP,520,55,0,1197,0
ICMP,5909,13,7,1051,1
TCP,320,105,0,1419,0
TCP,633,74,0,166,0
TCP,953,16,0,36,0
TCP,210,55,0,83,0
TCP,172,93,0,1467,0
ICMP,5625,150,7,6261,1
UDP,131,42,0,1435,0
TCP,1148,190,0,11,0
UDP,13,65,0,3,0
UDP,373,67,1,19,0
ICMP,1215,102,0,275,0
TCP,132,138,0,374,0
TCP,124,10,0,7,0
TCP,331,15,0,438,0
TCP,1889,23,0,502,0
TCP,554,49,0,76,0
TCP,827,88,0,106,0
TCP,7471,124,3,291,1
TCP,5794,192,0,3579,1
ICMP,379,6,0,5,0
UDP,690,76,0,2,0
TCP,394,123,0,344,0
TCP,342,33,0,40,0
TCP,342,9,0,1236,0
TCP,7369,187,9,94,1
TCP,119,5,0,373,0
TCP,406,93,0,266,0
ICMP,853,106,0,359,0
ICMP,41,27,0,1562,0
ICMP,440,21,0,273,0
ICMP,573,44,0,286,0
TCP,1448,131,0,27,0
TCP,221,176,0,703,0
TCP,60,42,0,424,0
TCP,51,15,0,25,0
TCP,1574,384,0,21,0
TCP,710,168,0,856,0
TCP,484,151,0,495,0
UDP,4928,204,4,188,1
TCP,450,258,0,580,0
TCP,274,565,0,274,0
TCP,197,39,0,1136,0
UDP,1900,49,0,776,0
TCP,244,114,0,287,0
TCP,149,478,0,596,0
ICMP,321,119,0,643,0
UDP,482,43,0,417,0
TCP,1794,180,0,671,0
UDP,105,22,0,257,0
TCP,206,204,0,345,0
TCP,1547,9,0,218,0
TCP,465,40,1,591,0
TCP,188,110,0,315,0
TCP,256,55,0,722,0
TCP,649,10,0,819,0
TCP,58,34,0,25,0
TCP,4722,228,0,6645,1
UDP,233,46,0,1180,0
UDP,96,48,0,758,0
TCP,474,14,0,757,0
ICMP,357,146,0,31,0
TCP,19,96,0,1317,0
TCP,197,18,0,460,0
TCP,36,43,0,496,0
ICMP,828,159,0,724,0
TCP,697,5,1,680,0
UDP,173,213,0,46,0
UDP,368,100,0,31,0
TCP,515,77,0,400,0
UDP,1040,266,0,1174,0
TCP,237,31,1,306,0
TCP,46,118,1,571,0
TCP,52,44,0,854,0
TCP,202,63,0,25,0
TCP,473,102,0,173,0
TCP,65,4,1,1104,0
TCP,351,63,1,653,0
TCP,1124,60,0,109,0
UDP,2097,62,0,46,0
ICMP,234,67,0,96,0
ICMP,8,21,0,1545,0
TCP,433,27,0,209,0
TCP,2661,6,0,345,0
TCP,838,196,0,356,0
ICMP,849,244,0,410,0
TCP,351,105,0,7,0
TCP,50,251,0,967,0
TCP,1610,19,0,504,0
TCP,5115,324,0,5804,1
TCP,208,133,0,896,0
TCP,255,65,0,359,0
UDP,218,1,0,268,0
UDP,659,5,0,821,0
TCP,330,103,0,69,0
TCP,92,9,0,168,0
TCP,479,317,0,1148,0
TCP,86,84,0,108,0
TCP,3,10,0,93,0
TCP,668,228,5,6932,1
TCP,374,53,0,248,0
TCP,640,90,0,45,0
UDP,747,409,0,245,0
TCP,236,47,0,302,0
TCP,329,20,0,13,0
TCP,552,19,0,346,0
TCP,275,27,0,1002,0
TCP,141,108,0,1447,0
TCP,1282,247,1,316,0
TCP,1038,58,0,879,0
TCP,1402,4,0,7,0
TCP,14,122,0,559,0
TCP,1056,20,0,608,0
TCP,476,46,0,28,0
UDP,303,141,0,833,0
TCP,918,9,0,687,0
TCP,638,69,0,227,0
TCP,825,172,0,242,0
TCP,1193,24,0,113,0
TCP,134,49,0,437,0
TCP,273,122,0,311,0
UDP,41,25,0,67,0
TCP,648,113,0,41,0
TCP,121,154,0,382,0
TCP,49,460,0,299,0
UDP,292,12,0,689,0
TCP,1603,108,0,367,0
TCP,203,54,3,6337,1
UDP,1157,32,0,337,0
TCP,717,101,0,312,0
TCP,3324,32,0,114,0
TCP,304,7,0,236,0
TCP,143,7,0,186,0
TCP,553,228,0,121,0
TCP,91,39,0,1701,0
TCP,159,326,0,1658,0
UDP,725,19,0,262,0
TCP,1173,268,0,579,0
TCP,200,57,1,236,0
TCP,847,46,0,336,0
UDP,301,8,0,148,0
TCP,372,70,6,117,1
TCP,82,82,0,67,0
TCP,711,25,0,908,0
TCP,97,50,0,182,0
TCP,817,47,0,512,0
ICMP,47,1,0,95,0
TCP,690,124,0,281,0
TCP,825,10,0,534,0
TCP,8,76,0,695,0
UDP,44,424,0,108,0
TCP,34,84,0,52,0
UDP,402,184,0,392,0
TCP,2826,198,0,121,0
TCP,2094,49,0,63,0
UDP,539,158,0,229,0
TCP,855,42,0,1358,0
UDP,288,134,0,65,0
UDP,177,157,0,17,0
ICMP,395,29,0,273,0
TCP,302,11,0,211,0
TCP,845,227,1,5163,1
UDP,57,392,0,854,0
TCP,652,25,0,116,0
TCP,86,23,0,897,0
TCP,333,29,0,1027,0
UDP,19,276,0,305,0
TCP,729,316,0,790,0
TCP,1399,4,0,164,0
TCP,263,295,0,181,0
TCP,326,24,0,751,0
UDP,342,109,0,29,0
ICMP,265,144,0,118,0
TCP,15,88,0,197,0
TCP,1244,146,0,40,0
ICMP,125,195,0,1575,0
TCP,471,22,0,599,0
TCP,155,186,0,86,0
ICMP,72,18,0,170,0
UDP,930,22,0,251,0
UDP,143,182,0,214,0
TCP,82,8,0,1311,0
TCP,179,121,0,363,0
TCP,637,56,0,15,0
TCP,476,205,0,72,0
TCP,183,908,0,1388,0
TCP,301,377,0,29,0
TCP,2420,252,0,922,0
ICMP,151,140,0,1340,0
TCP,492,79,0,7,0
TCP,507,43,0,557,0
UDP,1496,2,0,446,0
TCP,739,43,0,1546,0
TCP,2168,184,0,303,0
TCP,857,259,0,183,0
TCP,77,220,0,1152,0
UDP,437,161,0,129,0
TCP,304,30,0,117,0
ICMP,408,138,0,66,0
TCP,407,38,0,2329,0
TCP,20,245,0,598,0
TCP,270,6,0,30,0
ICMP,876,189,0,549,0
TCP,452,43,0,747,0
TCP,134,95,1,367,0
UDP,375,126,0,538,0
TCP,1380,70,0,472,0
TCP,27,7,0,196,0
UDP,541,8,0,550,0
TCP,498,145,0,177,0
TCP,1587,179,0,54,0
TCP,702,56,1,192,0
TCP,18,114,0,218,0
UDP,1283,95,0,315,0
TCP,141,18,0,396,0
UDP,3263,27,0,5,0
TCP,55,34,0,76,0
TCP,75,10,0,342,0
UDP,378,356,0,292,0
UDP,416,51,0,577,0
ICMP,42,130,0,660,0
UDP,330,10,0,1247,0
TCP,323,37,0,2877,0
UDP,674,35,0,259,0
TCP,123,20,0,11,0
TCP,233,121,0,89,0
TCP,523,25,0,1379,0
TCP,1756,54,0,376,0
TCP,46,104,0,1204,0
TCP,127,59,0,566,0
UDP,18,14,0,626,0
TCP,1211,33,0,104,0
TCP,36,205,0,516,0
TCP,307,116,0,510,0
TCP,10,61,0,43,0
TCP,379,26,0,190,0
TCP,595,14,0,1363,0
TCP,16,21,0,751,0
TCP,803,44,0,118,0
TCP,309,259,0,863,0
TCP,736,83,0,1502,0
ICMP,5865,101,0,6401,1
ICMP,866,112,0,361,0
TCP,392,112,0,104,0
TCP,124,91,0,309,0
TCP,33,142,0,132,0
TCP,1284,101,0,45,0
TCP,31,177,0,883,0
TCP,393,137,0,457,0
TCP,641,1,1,442,0
UDP,145,79,0,2047,0
UDP,51,244,0,251,0
TCP,853,49,0,569,0
UDP,716,19,0,229,0
TCP,379,79,1,564,0
TCP,22,149,0,538,0
UDP,10,160,0,1,0
TCP,351,188,0,771,0
TCP,927,57,0,60,0
TCP,318,25,0,668,0
TCP,1882,42,0,843,0
TCP,740,107,0,1745,0
TCP,215,21,0,210,0
UDP,536,104,0,812,0
TCP,629,23,0,423,0
ICMP,429,18,0,57,0
TCP,2130,133,0,166,0
UDP,374,29,0,95,0
TCP,494,15,0,1172,0
TCP,180,47,0,404,0
TCP,1280,88,1,58,0
TCP,1928,180,0,498,0
TCP,108,16,1,132,0
TCP,797,68,0,506,0
TCP,958,32,0,100,0
TCP,444,691,0,424,0
TCP,514,158,0,316,0
TCP,179,88,0,162,0
ICMP,1425,159,0,83,0
TCP,810,56,0,882,0
TCP,606,15,0,22,0
UDP,49,33,0,299,0
TCP,51,7,0,347,0
TCP,784,107,0,84,0
TCP,178,14,0,1164,0
ICMP,95,255,0,30,0
ICMP,3994,976,1,167,1
UDP,304,88,0,256,0
TCP,62,86,0,759,0
ICMP,273,96,1,433,0
TCP,749,539,0,97,0
TCP,1680,88,0,704,0
UDP,1470,61,0,324,0
TCP,580,12,1,377,0
TCP,8,6,0,1444,0
TCP,371,85,0,31,0
TCP,315,22,0,192,0
TCP,231,122,0,74,0
TCP,73,30,0,220,0
TCP,391,231,0,653,0
TCP,182,180,0,130,0
UDP,557,152,0,12,0
TCP,184,39,0,33,0
UDP,939,214,0,642,0
ICMP,17,272,0,231,0
TCP,27,86,0,585,0
UDP,117,19,0,100,0
TCP,20,63,0,1399,0
TCP,716,98,0,97,0
TCP,525,46,0,394,0
UDP,121,21,0,25,0
TCP,55,78,0,162,0
TCP,161,70,0,172,0
TCP,226,31,0,196,0
TCP,800,204,1,21,0
TCP,179,134,0,865,0
TCP,341,30,0,881,0
TCP,126,1,0,1302,0
ICMP,302,36,0,99,0
UDP,472,40,0,179,0
TCP,498,29,0,199,0
TCP,683,156,0,497,0
UDP,643,170,0,706,0
TCP,1330,10,0,1449,0
TCP,310,9,0,22,0
TCP,115,200,0,541,0
TCP,574,24,0,56,0
UDP,233,106,0,5,0
TCP,218,14,0,719,0
UDP,397,605,0,511,0
TCP,1673,124,0,1043,0
TCP,251,62,0,208,0
TCP,30,19,1,536,0
TCP,452,59,0,571,0
TCP,420,21,0,120,0
TCP,461,16,0,177,0
UDP,293,57,1,1229,0
UDP,173,76,0,82,0
UDP,1288,155,0,43,0
UDP,89,69,0,28,0
UDP,1152,274,0,231,0
ICMP,71,68,0,827,0
ICMP,245,98,0,81,0
UDP,249,190,0,692,0
ICMP,45,114,0,68,0
TCP,82,73,0,1337,0
TCP,184,41,0,27,0
TCP,317,18,0,1991,0
TCP,344,28,0,173,0
TCP,35,5,0,771,0
UDP,1493,177,0,488,0
TCP,932,69,0,171,0
TCP,21,96,0,360,0
UDP,281,154,0,295,0
TCP,998,35,0,577,0
TCP,834,85,1,43,0
TCP,11,177,0,362,0
ICMP,315,2,0,24,0
UDP,196,3,0,1094,0
TCP,613,11,0,164,0
TCP,160,321,0,70,0
TCP,1170,85,0,227,0
UDP,855,24,0,91,0
TCP,127,49,0,231,0
TCP,389,246,1,1508,0
TCP,105,67,0,163,0
